# metric_direction: lower_is_better
iteration	timestamp	error_type	error_fixed	commit	metric	delta	guard	status	description
34	2026-08-28T16:36:38-05:00	perf-high	P1	3972e69	12	-1	pass	keep	in-flight promise memo for embedQuery; pinned
35	2026-08-28T16:38:00-05:00	perf-high	P2	1371c65	11	-1	pass	keep	incremental exchange embedding; pinned (1 embed for +1 exchange)
36	2026-08-28T16:39:07-05:00	perf-high	P3	56b6d3c	10	-1	fail	crash	path column in recursive CTE; dense-hub + cyclic tests pinned
37	2026-08-28T16:41:12-05:00	perf-high	P3-rework	963f239	10	0	pass	keep (reworked)	BFS traversal replaces recursive CTE; cyclic/filter/dense tests pinned
38	2026-08-28T16:42:08-05:00	perf-high	P4	5a32eac	9	-1	pass	keep	index-eligible name lookup; query plan pinned
39	2026-08-28T16:43:23-05:00	perf-high	P5	a61e75f	8	-1	pass	keep	containment short-circuit + MERGE_TIMEOUT_MS; pinned
40	2026-08-28T16:44:24-05:00	perf-high	P6	8cfc0fb	7	-1	pass	keep	in-flight init memo; pinned
41	2026-08-28T16:45:54-05:00	perf-low	Q1	9a28042	6	-1	pass	keep	batched IN lookups; hoisted source-name lookup
42	2026-08-28T16:46:41-05:00	perf-low	Q2	080dfeb	5	-1	pass	keep	BETWEEN window query for drill context
43	2026-08-28T16:48:23-05:00	perf-low	Q3	06d4b6e	4	-1	pass	keep	O(lines) function-context index instead of O(matches×lines)
44	2026-08-28T16:48:49-05:00	perf-low	Q4	33c7331	3	-1	pass	keep	no probe INSERT/DELETE on migrated DBs
45	2026-08-28T16:49:14-05:00	perf-low	Q5	3b10521	2	-1	pass	keep	prompt read from disk once
46	2026-08-28T16:49:48-05:00	perf-low	Q6	4fb2889	1	-1	pass	keep	validate before model load
47	2026-08-28T16:50:13-05:00	perf-low	Q7	a286d6f	0	-1	pass	keep	resetWordCache on DB change; no per-minute full scans
